file_id,video_path,align_path,text
bbaf2n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaf2n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaf2n.align,BIN BLUE AT F TWO NOW
bbaf3s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaf3s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaf3s.align,BIN BLUE AT F THREE SOON
bbaf4p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaf4p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaf4p.align,BIN BLUE AT F FOUR PLEASE
bbaf5a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaf5a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaf5a.align,BIN BLUE AT F FIVE AGAIN
bbal6n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbal6n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbal6n.align,BIN BLUE AT L SIX NOW
bbal7s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbal7s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbal7s.align,BIN BLUE AT L SEVEN SOON
bbal8p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbal8p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbal8p.align,BIN BLUE AT L EIGHT PLEASE
bbal9a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbal9a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbal9a.align,BIN BLUE AT L NINE AGAIN
bbas1s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbas1s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbas1s.align,BIN BLUE AT S ONE SOON
bbas2p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbas2p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbas2p.align,BIN BLUE AT S TWO PLEASE
bbas3a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbas3a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbas3a.align,BIN BLUE AT S THREE AGAIN
bbaszn,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaszn.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaszn.align,BIN BLUE AT S ZERO NOW
bbaz4n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaz4n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaz4n.align,BIN BLUE AT Z FOUR NOW
bbaz5s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaz5s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaz5s.align,BIN BLUE AT Z FIVE SOON
bbaz6p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaz6p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaz6p.align,BIN BLUE AT Z SIX PLEASE
bbaz7a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbaz7a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbaz7a.align,BIN BLUE AT Z SEVEN AGAIN
bbbf6n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbf6n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbf6n.align,BIN BLUE BY F SIX NOW
bbbf7s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbf7s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbf7s.align,BIN BLUE BY F SEVEN SOON
bbbf8p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbf8p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbf8p.align,BIN BLUE BY F EIGHT PLEASE
bbbf9a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbf9a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbf9a.align,BIN BLUE BY F NINE AGAIN
bbbm1s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbm1s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbm1s.align,BIN BLUE BY M ONE SOON
bbbm2p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbm2p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbm2p.align,BIN BLUE BY M TWO PLEASE
bbbm3a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbm3a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbm3a.align,BIN BLUE BY M THREE AGAIN
bbbmzn,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbmzn.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbmzn.align,BIN BLUE BY M ZERO NOW
bbbs4n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbs4n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbs4n.align,BIN BLUE BY S FOUR NOW
bbbs5s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbs5s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbs5s.align,BIN BLUE BY S FIVE SOON
bbbs6p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbs6p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbs6p.align,BIN BLUE BY S SIX PLEASE
bbbs7a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbs7a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbs7a.align,BIN BLUE BY S SEVEN AGAIN
bbbz8n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbz8n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbz8n.align,BIN BLUE BY Z EIGHT NOW
bbbz9s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbbz9s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbbz9s.align,BIN BLUE BY Z NINE SOON
bbie8n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbie8n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbie8n.align,BIN BLUE IN E EIGHT NOW
bbie9s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbie9s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbie9s.align,BIN BLUE IN E NINE SOON
bbif1a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbif1a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbif1a.align,BIN BLUE IN F ONE AGAIN
bbifzp,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbifzp.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbifzp.align,BIN BLUE IN F ZERO PLEASE
bbil2n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbil2n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbil2n.align,BIN BLUE IN L TWO NOW
bbil3s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbil3s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbil3s.align,BIN BLUE IN L THREE SOON
bbil4p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbil4p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbil4p.align,BIN BLUE IN L FOUR PLEASE
bbil5a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbil5a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbil5a.align,BIN BLUE IN L FIVE AGAIN
bbir6n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbir6n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbir6n.align,BIN BLUE IN R SIX NOW
bbir7s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbir7s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbir7s.align,BIN BLUE IN R SEVEN SOON
bbir8p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbir8p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbir8p.align,BIN BLUE IN R EIGHT PLEASE
bbir9a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbir9a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbir9a.align,BIN BLUE IN R NINE AGAIN
bbiz1s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbiz1s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbiz1s.align,BIN BLUE IN Z ONE SOON
bbiz2p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbiz2p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbiz2p.align,BIN BLUE IN Z TWO PLEASE
bbiz3a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbiz3a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbiz3a.align,BIN BLUE IN Z THREE AGAIN
bbizzn,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbizzn.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbizzn.align,BIN BLUE IN Z ZERO NOW
bbwg1s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwg1s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwg1s.align,BIN BLUE WITH G ONE SOON
bbwg2p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwg2p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwg2p.align,BIN BLUE WITH G TWO PLEASE
bbwg3a,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwg3a.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwg3a.align,BIN BLUE WITH G THREE AGAIN
bbwgzn,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwgzn.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwgzn.align,BIN BLUE WITH G ZERO NOW
bbwm4n,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwm4n.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwm4n.align,BIN BLUE WITH M FOUR NOW
bbwm5s,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwm5s.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwm5s.align,BIN BLUE WITH M FIVE SOON
bbwm6p,C:\Users\sharm\py (1)\proj\lip\data\data\s1\bbwm6p.mpg,C:\Users\sharm\py (1)\proj\lip\data\data\alignments\s1\bbwm6p.align,BIN BLUE WITH M SIX PLEASE
